index,road_name,area_name,latitude,longitude,source
0,100 Feet Road,Indiranagar,12.9699,77.6499,approximated (parent area: Indiranagar)
1,CMH Road,Indiranagar,12.9699,77.6499,approximated (parent area: Indiranagar)
2,Marathahalli Bridge,Whitefield,12.956,77.7092,verified (individual junction)
3,Sony World Junction,Koramangala,12.9259,77.6229,approximated (parent area: Koramangala)
4,Sarjapur Road,Koramangala,12.9259,77.6229,approximated (parent area: Koramangala)
5,Trinity Circle,M.G. Road,12.9738,77.6119,approximated (parent area: M.G. Road)
6,Anil Kumble Circle,M.G. Road,12.9738,77.6119,approximated (parent area: M.G. Road)
7,Jayanagar 4th Block,Jayanagar,12.925,77.595,approximated (parent area: Jayanagar)
8,South End Circle,Jayanagar,12.925,77.595,approximated (parent area: Jayanagar)
9,Hebbal Flyover,Hebbal,13.0358,77.597,approximated (parent area: Hebbal)
10,Ballari Road,Hebbal,13.0358,77.597,approximated (parent area: Hebbal)
11,Yeshwanthpur Circle,Yeshwanthpur,13.0285,77.5462,approximated (parent area: Yeshwanthpur)
12,Tumkur Road,Yeshwanthpur,13.0285,77.5462,approximated (parent area: Yeshwanthpur)
13,ITPL Main Road,Whitefield,12.9714,77.7501,approximated (parent area: Whitefield)
14,Silk Board Junction,Koramangala,12.917,77.623,verified (individual junction)
15,Hosur Road,Koramangala,12.9259,77.6229,approximated (parent area: Koramangala)
